Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
458,0.577,0.5,0.00814,99.7658,100.0,0.001
459,0.585,0.506,0.03149,98.5948,100.0,0.001
460,0.583,0.505,0.02232,99.5316,100.0,0.001
461,0.583,0.503,0.0246,99.2974,100.0,0.001
462,0.581,0.501,0.05021,98.5948,100.0,0.001
463,0.588,0.508,0.01269,99.2974,100.0,0.001
464,0.582,0.503,0.0125,99.7658,100.0,0.001
465,0.588,0.509,0.02508,99.5316,100.0,0.001
466,0.593,0.513,0.01158,99.7658,100.0,0.001
467,0.585,0.505,0.00882,99.7658,100.0,0.001
468,0.591,0.511,0.01708,99.0632,100.0,0.001
469,0.583,0.503,0.023,99.2974,100.0,0.001
470,0.587,0.507,0.0113,100.0,100.0,0.001
471,0.589,0.51,0.02055,99.5316,100.0,0.001
472,0.588,0.509,0.01147,99.7658,100.0,0.001
473,0.589,0.509,0.00765,99.7658,100.0,0.001
474,0.581,0.502,0.00945,99.7658,100.0,0.001
475,0.581,0.501,0.01983,99.2974,100.0,0.001
476,0.583,0.503,0.01389,99.5316,100.0,0.001
477,0.584,0.505,0.01919,99.2974,100.0,0.001
478,0.584,0.506,0.01858,99.5316,100.0,0.001
479,0.585,0.506,0.0082,99.7658,100.0,0.001
480,0.584,0.505,0.02029,99.2974,100.0,0.001
481,0.593,0.506,0.01072,100.0,100.0,0.001
482,0.606,0.527,0.01198,99.2974,100.0,0.001
483,0.593,0.515,0.00905,99.7658,100.0,0.001
484,0.59,0.511,0.00625,100.0,100.0,0.001
485,0.591,0.511,0.02399,99.2974,100.0,0.001
486,0.585,0.507,0.01424,99.2974,100.0,0.001
487,0.59,0.513,0.01039,99.5316,100.0,0.001
488,0.584,0.506,0.01849,99.0632,100.0,0.001
489,0.593,0.513,0.01988,98.829,100.0,0.001
490,0.588,0.506,0.00384,100.0,100.0,0.001
491,0.584,0.503,0.01593,99.2974,100.0,0.001
492,0.596,0.517,0.02165,99.2974,100.0,0.001
493,0.575,0.497,0.04388,99.0632,100.0,0.001
